id,name,price,description,image,category_id,brand_id,brand_name,tiki_product_id
1,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,3680000,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,https://salt.tikicdn.com/cache/280x280/ts/product/14/2f/c6/a161edd03cf817a13d4c3255d1467f0a.jpg,1,147856,Kindle,125182567
2,"Điện thoại AI Samsung Galaxy S24 Ultra, Camera 200MP Zoom 100x, S Pen - Hàng Chính Hãng",28020000,Điện thoại Samsung Galaxy S24 Ultra 5G- Hàng chính hãngMàn hình với độ sáng thích ứng lớn nhất lên đến 2600 nitMặt kính Corning Gorilla Armor giúp giảm phản xạ và cải thiện độ sắc nét của hình ảnh...,https://salt.tikicdn.com/cache/280x280/ts/product/c1/77/a8/81aeda13c278a2f63f5cd870fd5bbdf0.jpg,1,18802,Samsung,273947792
3,Máy đọc sách Kindle Scribe - Hàng chính hãng,12290000,"Đọc và viết tự nhiên như khi làm trên giấyVới màn hình E-ink 10,2 inch, độ phân giải 300 ppi chống lóa. Kindle Scribe hoàn hảo để đọc và viết, ngay cả dưới ánh sáng mặt trời. Màn hình lớn cung cấp ch...",https://salt.tikicdn.com/cache/280x280/ts/product/71/e5/0c/7b51868c1d7a251b6e66cde178f04d85.jpg,1,147856,Kindle,217640502
4,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,3976200,  Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite ...,https://salt.tikicdn.com/cache/280x280/ts/product/3a/6a/88/dab7a029b67ae97fae23ffa292ffa74e.jpg,1,147856,Kindle,252586291
5,Apple iPhone 11,9990000,"Nội dung về tính năngQuay video 4K, chụp ảnh chân dung tuyệt đẹp và chụp phong cảnh rộng với hệ thống camera kép hoàn toàn mới. Chụp ảnh tối ưu trong điều kiện ánh sáng yếu với chế độ Ban Đêm. Xem ản...",https://salt.tikicdn.com/cache/280x280/ts/product/aa/24/e0/d73c22287081d807af0de9cb48a79f3c.jpg,1,17827,Apple,184036446
6,Apple iPhone 13,13490000,iPhone 13. Hệ thống camera kép tiên tiến nhất từng có trên iPhone. Chip A15 Bionic thần tốc. Bước nhảy vọt về thời lượng pin. Thiết kế bền bỉ. Mạng 5G siêu nhanh.1 Cùng với màn hình Super Retina XDR s...,https://salt.tikicdn.com/cache/280x280/ts/product/b7/ba/88/66059a54a3a139d45841d412379b1fe4.jpg,1,17827,Apple,184059211
7,"Apple iPad 10.2-inch (9th Gen) Wi-Fi, 2021",6990000,"Nội dung quảng cáoMạnh mẽ. Dễ sử dụng. Linh hoạt. iPad có màn hình Retina 10.2 inch tuyệt đẹp, chip A13 Bionic mạnh mẽ, camera trước Ultra Wide có tính năng Trung Tâm Màn Hình, tương thích với Apple ...",https://salt.tikicdn.com/cache/280x280/ts/product/54/ff/25/bfdf0febe11a28eaa7cd3fa735a82c49.png,1,17827,Apple,183330021
8,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,1690000,"Màn hình giọt nước, viền máy mỏngĐiện thoại Xiaomi Redmi 9A sở hữu một màn hình tràn viền kích thước cực lớn 6.53 inch với thiết kế theo kiểu giọt nước quen thuộc, đi theo xu hướng chung của những mẫ...",https://salt.tikicdn.com/cache/280x280/ts/product/22/34/6c/f2f6ca4edc76d9ba9fbb03ac976c06ae.png,1,25422,Xiaomi,57809866
9,Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - 16Gb và Bao da - Hàng nhập khẩu,4090000,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,https://salt.tikicdn.com/cache/280x280/ts/product/51/8f/6b/1d558fab3d6a12743156ccbdbe0f4f8f.jpg,1,147856,Kindle,217645692
10,Máy tính bảng Kindle Fire HD10 2023 13th - 32Gb - Hàng chính hãng,3290000,Máy tính bảng Kindle Fire 13th – Cho Từng Trải Nghiệm Hoàn HảoMáy tính bảng Kindle Fire HD 13th là bản nâng cấp nhẹ của phiên bản năm Kindle Fire 2021 (thế hệ 11) với khá nhiều điểm nổi trội.Thiết k...,https://salt.tikicdn.com/cache/280x280/ts/product/33/28/66/febee83933032405001356017833d52c.jpg,1,147856,Kindle,273559020
11,Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu,6190000,"Độ phân giải màn hình cực caoMáy đọc sách All New Kindle Oasis 3 với màn hình 7 inch và mật độ ảnh 300 ppi, văn bản hiển thị trên thiết bị với chất lượng sắc nét, đọc như giấy thật ngay cả trong ánh ...",https://salt.tikicdn.com/cache/280x280/ts/product/30/ca/07/0807773d470e426aa2c80b8611245421.jpg,1,147856,Kindle,173387789
12,Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da - Hàng nhập khẩu,3690000,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,https://salt.tikicdn.com/cache/280x280/ts/product/5a/a9/fd/6fe6aa80db8a8c896ea852619df906f2.jpg,1,147856,Kindle,217706932
13,Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng,1640000,"Nokia C30 là dòng smartphone giá rẻ được Nokia chăm chút và đầu tư kỹ lưỡng với những nâng cấp đáng kể cả về ngoại hình lẫn hiệu năng, hứa hẹn mang đến cho người dùng những trải nghiệm tuyệt vời hơn b...",https://salt.tikicdn.com/cache/280x280/ts/product/5c/57/85/312c7a38df0312e7525a18f61c5a0fbc.jpg,1,19673,Nokia,120295859
14,Apple iPhone 12,12750000,"Điện Thoại iPhone 12iPhone 12 đẩy nhanh mọi tác vụ với mạng 5G siêu nhanh.1 A14 Bionic, chip nhanh nhất trên điện thoại thông minh. Hệ thống camera kép mới. Với màn hình Super Retina XDR tuyệt đẹp, n...",https://salt.tikicdn.com/cache/280x280/ts/product/8b/1f/d8/fe77cababd0fe575333a17ef5432dabb.jpg,1,17827,Apple,123345348
15,"Apple iPad mini (6th Gen) Wi-Fi, 2021",11490000,iPad mini. Thiết kế màn hình toàn phần với màn hình Liquid Retina 8.3 inch.1 Chip A15 Bionic mạnh mẽ với Neural Engine. Camera trước Ultra Wide 12MP với tính năng Trung Tâm Màn Hình. Cổng kết nối USB-...,https://salt.tikicdn.com/cache/280x280/ts/product/49/75/99/2219ae33da6fb87ec3231dae0e752b3a.jpg,1,17827,Apple,184248127
16,Điện thoại bàn Panasonic  KX-TS500MX-hàng chính hãng,300000,"Treo tường hoặc để bànĐiều chỉnh âm lượng, chuôngQuay số nhanhĐèn tín hiệuSản xuất tại MalaysiaBảo hành 1 năm chính hãng Panasonic Giá bán đã thuế 10% VAT...",https://salt.tikicdn.com/cache/280x280/ts/product/be/09/b7/55917b01ae380cdb1e6acce0ae683370.jpg,1,18804,Panasonic,163914808
17,Máy đọc sách Kindle Oasis 3 (2019) - Amazon - Hàng nhập khẩu,6043100,"Độ phân giải màn hình cực caoMáy đọc sách Kindle Oasis 32G với màn hình 7 inch và mật độ ảnh 300 ppi, văn bản hiển thị trên thiết bị với chất lượng sắc nét, đọc như giấy thật ngay cả trong ánh sáng m...",https://salt.tikicdn.com/cache/280x280/ts/product/2f/d2/4b/734d799a9b582017c71db858af78f27f.jpg,1,147856,Kindle,43924153
18,"Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da FOR KIDS (Bản KIDS, Không Quảng Cáo) - Hàng chính hãng",3790000,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,https://salt.tikicdn.com/cache/280x280/ts/product/4d/65/eb/8cc241b558538e304ff89118215eb0f7.jpeg,1,147856,Kindle,271362153
19,Điện Thoại Vivo V25e 2022 (8GB/128GB) - Hàng Chính Hãng,8490000,"Thiết kế đẳng cấp với mặt lưng thay đổi màu sắcV25 Series không chỉ sở hữu ngôn ngữ thiết kế hiện đại với cạnh viền vát phẳng đang là hot trend ở thời điểm hiện tại, thân máy siêu mỏng chỉ 7.79 mm và...",https://salt.tikicdn.com/cache/280x280/ts/product/9a/87/48/b967172efd2e707fbb5a707cb9331e30.png,1,52232,Vivo,198111545
20,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng,600000,"Điện thoại chính hãng Panasonic KX-TSC11– Màn hình hiển thị số gọi đến, gọi đi.– Bộ nhớ 50 số điện thoại.– Nhớ 50 số gọi đến 10 số gọi đi.– Khoá đường dài, di động bằng mã.– Có các mức điều chỉnh...",https://salt.tikicdn.com/cache/280x280/ts/product/69/87/36/29423f1956f9bf6d3299a8dbb34dd704.jpg,1,18804,Panasonic,204237269
21,Điện thoại bàn Panasonic KX-TS880 hàng chính hãng,1050000,"- Màn hình LCD hiển thị số gọi đến.- Danh bạ 50 số, nhớ 20 số gọi đi.- 20 số gọi bằng 1 phím bấm.- 10 phím quay số nhanh.- Có Speaker phone 2 chiều.- Chức năng tự động gọi lại.- Chế độ câm tiếng...",https://salt.tikicdn.com/cache/280x280/ts/product/f8/c7/f6/e0e8a6f7589e1e80f0c88840c8c7408c.jpg,1,18804,Panasonic,181977398
22,Máy đọc sách Kobo Libra 2 - hàng nhập khẩu,5250000,"Bản nâng cấp cập nhật của Kobo Libra H20 mới ra mắt, mở bán lần đầu trên thế giới ngày 20/10/2021 . Cùng với Kobo Sage,  phiên bản được mong chờ nhất cuối năm 2021.Chiếc máy đọc sách nào hoàn hảo cho...",https://salt.tikicdn.com/cache/280x280/ts/product/f5/e5/82/331a50d0d1e2809ef32a38eb201197ad.jpg,1,183625,Kobo,139632023
23,Điện Thoại Xiaomi Redmi 10 4GB/128GB - Hàng Chính Hãng,2889000,"Điện Thoại Xiaomi Redmi 10 4GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C, ốp lưng, hướng dẫn, cây tháo sim.Thiết kế- Màn hình đục lỗ có kích thước 6.5 inch sẽ đem đến tr...",https://salt.tikicdn.com/cache/280x280/ts/product/bf/ff/d8/b361ab48631a1757ec82c109f8ee835f.jpg,1,25422,Xiaomi,121744434
24,Điện Thoại Bàn Cố Định Không Dây Lắp Sim,650000,"Điện thoại bànĐiện thoại cố định không dâyDòng cố định không dây lắp SIMLắp SIM cố định hoặc SIM di động đều đượcLắp tất cả các loại SIM của tất cả các thị trường hiện có Viettel, Vina, Mobi, Viet...",https://salt.tikicdn.com/cache/280x280/ts/product/b7/4b/30/15740537205344ced549c2ebba42fddc.jpg,1,19788,Huawei,31261844
25,Điện thoại bàn có dây nhỏ gọn màu trắng,250000,điện thoại bàncó dây kiểu dáng nhỏ gọnsố to rõ dễ sử dụng  ...,https://salt.tikicdn.com/cache/280x280/ts/product/8a/fe/92/8798ddc7a8b8fb08aa4e5e3146819faf.jpg,1,111461,OEM,73842403
26,Điện thoại Masstel izi 26 4G - Gọi HD Call - Hàng chính hãng,499000,"Thắng Thao Mobile cam kếtMáy chuẩn 4G không lo cắt sóng 2GHàng chính hãng mới 100%Bảo hành 12 thángTÍNH NĂNG NỔI BẬTMàu Sắc: Black, Blue Dung Lượng Pin: 1800mAh Hỗ Trợ Khác: đài FM không d...",https://salt.tikicdn.com/cache/280x280/ts/product/f5/0b/df/eb4084ef538dba69cc3bbeab80461504.jpg,1,112638,Masstel,197654695
27,Điện thoại Masstel Lux 20 4G - Sang trọng - Gọi HD Call - Hàng chính hãng,579000,"Thắng Thao Mobile cam kếtMáy chuẩn 4G không lo cắt sóng 2GHàng chính hãng mới 100%Bảo hành 12 tháng TÍNH NĂNG NỔI BẬTMàu Sắc : Blue, Gold, Silver Dung Lượng Pin: 1800mAh Màn hình: 2.4′ QV...",https://salt.tikicdn.com/cache/280x280/ts/product/b1/34/34/cbf32482a6649db2e46cb74f53d621ce.jpg,1,192229,Massel,197652030
28,Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng chính hãng,1949000," Màn hình: IPS LCD 6.53"", HD+ (720 x 1600 Pixels) Hệ điều hành: Android 11 Camera sau: 13 MP + 2 MP Camera trước: 5 MP Chipset: MediaTek MT6762G Helio G25 RAM: 2 GB Bộ nhớ trong: 32 GB Cổng kết...",https://salt.tikicdn.com/cache/280x280/ts/product/e1/5b/5f/850b5bc473bf058c23bc18fc48c6c8ae.jpg,1,25422,Xiaomi,189466001
