id,sku,name,short_description,image,price,product_link,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
55512044,5141984062778,"Sữa Bột Anlene Gold Movepro 3X Hương Vanilla (Hộp Giấy 1,2kg)","Anlene Gold 3X/Anlene 3 Khoẻ mới là sản phẩm sữa chứa nhiều dưỡng chất thiết yếu hỗ trợ hệ Cơ-Xương-Khớp khỏe mạnh.Công thức đặc biệt giúp hệ vận động khỏe mạnh để bạn dễ dàng vận động:Đạm, Magie, ...",https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/8d/a5/e0/3ab547cd55605c227fe3c98e5d8e6a4f.png,465000,,491000,,26000,5,254,,available,,1000,1000,,52347,Anlene
1000540,3700398948638,Sữa Bột Anlene Gold Movepro 3X Hương Vanilla (Hộp Thiếc 800g),"Sữa Bột Anlene Gold Movepro Hương Vanilla (Hộp Thiếc 800g)  gồm các dưỡng chất thiết yếu như canxi, vitamin D, đạm, magiê và FOS inulin giúp xương chắc khoẻ hơn mỗi ngày, phòng chống loãng xương tối ...",https://salt.tikicdn.com/cache/280x280/ts/product/6b/91/4a/cf1c7b5d67ecffea23dc26e783fd7b2b.jpg,375000,,375000,,0,0,87,,available,,1000,1000,,52347,Anlene
130461472,7721839259675,Sữa Bột Similac Einstein 3,"Sữa Bột Similac Einstein 3 là thức uống dinh dưỡng dành cho bé sơ sinh từ 1 đến 2 tuổi, hỗ trợ sự phát triển não bộ và tăng sức đề kháng cho bé với hệ dưỡng chất IQ Plus và 2'FL HMO.Giúp trẻ phát tr...",https://salt.tikicdn.com/cache/280x280/ts/product/29/88/a1/72b62abcb94dda69d298d194ac254742.jpg,510000,,510000,,0,0,163,,available,,1000,1000,,149735,Similac
35043549,7740299658157,Thùng 48 Hộp Sữa Nước Abbott Similac 180ml cho trẻ từ 1 tuổi,"Thùng 48 Hộp Sữa Nước Abbott Similac 180ml phối hợp khoa học DHA, vitamin E và cholin cùng taurin, sắt, kẽm, acid folic và i ốt, những dưỡng chất quan trọng hỗ trợ trẻ phát triển tốt não bộ và thị giá...",https://salt.tikicdn.com/cache/280x280/ts/product/28/9e/6c/b1cfc8e6379795ae684d1bb5f55cd8ef.png,844000,,1003200,,159200,16,85,,available,,1000,1000,,149735,Similac
435759,8004086614085,Sữa Bột Abbott Grow 4 1.7Kg,"""Sữa mẹ là thức ăn tốt nhất cho sức khỏe và sự phát triển toàn diện của trẻ sơ sinh và trẻ nhỏ""Sữa Bột Abbott Grow 4 1.7Kg chứa lượng vitamin D và canxi cao hơn, đáp ứng nhu cầu phát triển chiều cao ...",https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/bd/03/a6/875f0b8b2e4f8a6dc8abedf327a0c894.jpg,574000,,651780,,77780,12,86,,available,,1000,1000,,149739,Grow
97551646,7656028145358,[MUA 2 GIẢM 200K] Bộ 2 Lon Sữa Bột Friso Gold 4 1400g Dành Cho Trẻ Từ 2 - 6 Tuổi + Tặng Lon Sữa Friso Gold 4 380g,"Sữa Bột Frisolac Gold 4 - Giai Đoạn 1 là sản phẩm dinh dưỡng công thức dành cho trẻ từ 2-6 tuổiFrisolac Gold 4 cung cấp đa vi chất dinh dưỡng vitamin A, C, E và các chất khoáng selen, kẽm, 5 loại nuc...",https://salt.tikicdn.com/cache/280x280/ts/product/ce/61/23/23abab360852376076c21f21082a4bab.jpg,1270000,,1770000,,500000,28,1218,,available,,1000,1000,,32539,Friso
1000534,3705169767456,Sữa Bột Anlene Gold Movepro Hương Vanilla (Hộp Giấy 440g),"Sữa Bột Anlene Gold Movepro Hương Vanilla (Hộp Giấy 440g)  gồm các dưỡng chất thiết yếu như canxi, vitamin D, đạm, magiê và FOS inulin giúp xương chắc khoẻ hơn mỗi ngày, phòng chống loãng xương tối ưu...",https://salt.tikicdn.com/cache/280x280/ts/product/2e/3b/1a/1fab38c9688fea0116aec8202f120b5c.png,189000,,204000,,15000,7,157,,available,,1000,1000,,52347,Anlene
59143353,1627779549081,Combo Tiết Kiệm: 6 Gói Khăn Ướt Bobby Care Không Hương 100 Miếng/Gói,Combo Tiết Kiệm: 6 Gói Khăn Ướt Bobby Care Không Hương 100 Miếng/Gói là sản phẩm chăm sóc sức khỏe giúp Bé yêu và cả gia đình tránh nhiễm khuẩn một cách An toàn và Ưu việt! Nhờ ứng dụng công nghệ Nan...,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/9d/3b/b7/7065f0b761ac187005a557cd5e3d6cb5.jpg,181000,,279000,,98000,35,3013,,available,,1000,1000,,26863,Bobby
20088686,6100616289999,Sữa tắm gội toàn thân Johnson's Baby (500ml),"Sữa tắm gội toàn thân Johnson's Baby (500ml) Làn da của trẻ sơ sinh hấp thụ và mất độ ẩm nhanh hơn so với da người lớn, do đó cần chế độ dưỡng ẩm đặc biệt.Độ pH cân bằng, không gây kích ứng daPhù hợp ...",https://salt.tikicdn.com/cache/280x280/ts/product/e1/7e/97/6d8a098c52bf83066edf731625e3267b.jpg,135000,,171000,,36000,21,553,,available,,1000,1000,,41660,Johnson's Baby
272847939,6668361363562,"Hạt nêm rau củ Massel Úc 100% từ rau củ thảo mộc bảo vệ sức khỏe, dành cho ăn chay, ăn mặn, ăn kiêng và cho bé ăn dặm - QuaTangMe Extaste"," Hạt nêm rau củ Massel Úc 100% từ rau củ thảo mộc bảo vệ sức khỏe, dành cho ăn chay, ăn mặn, ăn kiêng và cho bé ăn dặm        1.Giới thiệu hạt nêm rau củ Massel Úc 100% từ rau củ thảo mộc       - ...",https://salt.tikicdn.com/cache/280x280/ts/product/21/33/c3/b057b43b3a2dae14c2e2cd38c863ebbb.png,87000,,180000,,93000,52,168,,available,,1000,1000,,192229,Massel
