id,sku,name,short_description,image,price,product_link,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
257845274,1896130112322,"Tạ đôi, Tạ tay (Chọn Lực Nặng Của Tạ 20kg ,30kg, 40kg Tùy chọn) tập tay đẩy kết hợp, tạ nam nữ tập gym tập thon tay Giá tốt Hàng Chuẩn ( hàng nhập khẩu）",Tất cả sản phẩm của shop đều tự lắp ráp : có hướng dẫn + dụng cụ kèm theoCực kỳ dễ dàng lắp ráp dành 15 - 30 phút để hoàn thiện sản phẩmCó đính kèm link hướng dẫn hoặc tham khảo youtube==&...,https://salt.tikicdn.com/cache/280x280/ts/product/ab/4c/6c/a77ed72fdcf77cc8cdeccb17a7401d95.jpg,279000,,529000,,250000,47,545,,available,,1000,1000,,160533,BG
66907970,9694566793455,"Xà Đơn  Treo Tường Gắn Cửa Điều Chỉnh Độ Dài Linh Hoạt ,Mẫu Mới Chất Liệu Thép Không Gỉ Chịu Lực 150kg , Tay Cầm Bọc Đệm PVC Chống Trượt",CÁCH LẮP ĐẶT SẢN PHẨM     Bạn muốn có một thân hình đẹp nhưng bạn không có thời gian đi đến các phòng tập Gym? Bạn muốn thực hiện các bài tập xà đơn để có được một thân thể khỏe mạnh nhưng k...,https://salt.tikicdn.com/cache/280x280/ts/product/09/b7/d3/475b5ebf0a47ca105147c6708a4754c9.jpg,319000,,459000,,140000,31,723,,available,,1000,1000,,534699,CLEACCO
7248403,6129748262236,Bộ 2 tạ tay Thái Lan 1kg (hàng nhập khẩu),Tất cả sản phẩm của shop đều tự lắp ráp : có hướng dẫn + dụng cụ kèm theoCực kỳ dễ dàng lắp ráp dành 15 - 30 phút để hoàn thiện sản phẩmCó đính kèm link hướng dẫn hoặc tham khảo youtube===============...,https://salt.tikicdn.com/cache/280x280/ts/product/4a/23/06/f99ed4a5cd2aa07cff9c432fdb212aa7.jpg,201000,,400000,,199000,50,100,,available,,1000,1000,,160533,BG
4693829,8576739691175,Bộ 2 Tạ tay cao cấp Thái Lan 2Kg BG (hàng nhập khẩu) ,Tất cả sản phẩm của shop đều tự lắp ráp : có hướng dẫn + dụng cụ kèm theoCực kỳ dễ dàng lắp ráp dành 15 - 30 phút để hoàn thiện sản phẩmCó đính kèm link hướng dẫn hoặc tham khảo youtube===============...,https://salt.tikicdn.com/cache/280x280/ts/product/4b/f2/ab/179b0e2147107cd115a97c9338e7ef58.jpg,259000,,499000,,240000,48,58,,available,,1000,1000,,160533,BG
52328173,8114653574350,Bộ tạ tay cao cấp đa năng điều chỉnh mới nhất có thanh nối tạ mẫu KIM LOẠI (hàng nhập khẩu),Tất cả sản phẩm của shop đều tự lắp ráp : có hướng dẫn + dụng cụ kèm theoCực kỳ dễ dàng lắp ráp dành 15 - 30 phút để hoàn thiện sản phẩmCó đính kèm link hướng dẫn hoặc tham khảo youtube===============...,https://salt.tikicdn.com/cache/280x280/ts/product/d4/9a/b8/9b8252a103dd37b74a5d27fdad4cfe3f.jpg,1599000,,2998500,,1399500,47,41,,available,,1000,1000,,160533,BG
21947276,7239853490109,Thảm Tập YoGa miDoctor + Bao Thảm Tập Yoga + Dây Thảm Tập Yoga (Giao Màu Ngẫu Nhiên),Thảm Tập Yoga Chính Hãng miDoctor + Bao Thảm Tập Yoga + Dây Buộc Thảm Tập Yoga THẢM GIAO MÀU NGẪU NHIÊNƯu điểm của Thảm Tập Yoga miDoctor 2 lớp so với các loại thảm thông thường:Chất liệu: Thảm...,https://salt.tikicdn.com/cache/280x280/ts/product/e4/9f/fa/df30e2303b6c10be4fc9a820e44c859f.png,112000,,112000,,0,0,2303,,available,,1000,1000,,245945,miDoctor
58547423,2308775725608,"Túi đeo bụng chạy bộ chống nước, đai đeo điện thoại chạy bộ, túi đeo hông chạy bộ phản quang GoodFit GF106RB","TÚI ĐEO HÔNG, ĐEO BỤNG CHẠY BỘ NAM NỮ GOODFIT GF106RBTúi đeo hông GoodFit GF106RB giúp bạn giải quyết các vấn đề: không thể đem theo điện thoại và bỏ lỡ những cuộc gọi quan trọng, rơi vỡ màn hình t...",https://salt.tikicdn.com/cache/280x280/ts/product/7b/c1/37/0bba2ebaf8575360f62e55e27b278055.jpg,129000,,199000,,70000,35,450,,available,,1000,1000,,856589,GOODFIT
16974932,1725311615550,"Kính bơi chống tia UV , Chống sương mù , bảo vệ mắt YESURE Cleacco, Dây đeo được làm 100% silicone mềm mại, thoải mái, dành cho vận động viên chuyên nghiệp hoặc người có sở thích đi bơi - Hàng Chính Hãng","Đặc tính sản phẩm:1. Tròng kính được làm từ chất liệu PC chuyên làm kính cho mũ bảo hiểm của các phi hành gia vũ trụ, với độ trong suốt, tính quang học cực cao. Đồng thời, bề mặt kính rất cứng, chống...",https://salt.tikicdn.com/cache/280x280/ts/product/73/83/80/a8b4018e958d68fd239cb9c136598b2e.jpg,279000,,404000,,125000,31,634,,available,,1000,1000,,534699,CLEACCO
54734250,8797650902199,Dây Nhảy Tập Thể Dục Cao Cấp Tại Nhà,  ...,https://salt.tikicdn.com/cache/280x280/ts/product/6f/b5/5b/87807714002a26646369e1e31751eaf6.png,9500,,19000,,9500,50,1364,,available,,1000,1000,,836165,Buffalo Sports
68399004,3025994104463,"Băng Bảo Vệ Đầu Gối Bó Cơ VN09, Băng Gối Thể Thao Cao Cấp VNS (1 Đôi)",BĂNG GỐI THUN ÔM CƠ VÀ BẢO VỆ ĐẦU GỐI VN09 - VNSPORTĐây là dòng băng bó gối ôm cơ có độ co giãn tốt được sử dụng thông dụng trong hầu hết các bộ môn thể thao. Băng gối VN09 của VNSPORT có độ thỏa mái...,https://salt.tikicdn.com/cache/280x280/ts/product/33/dd/89/3872bf4790817e3698c579807223dd75.jpg,128000,,150000,,22000,15,492,,available,,1000,1000,,373817,VNS
