id,sku,name,short_description,image,price,product_link,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
121485349,5459921608928,"[Nhập Coupon giảm ngay 50K]Bàn Chải Điện P/S S100 PRO - Công Nghệ Sóng Âm, Chải Sạch Mảng Bám Tới 10X - Trắng Sáng","Đặc điểm vượt trộiCông nghệ sóng âm tiên tiến tạo nên các hạt siêu bọt - Microbubble, sạch hiệu quả mà vẫn dịu nhẹ cho nướuGấp 100 lần nhịp chải so với việc chải răng thông thườngCơ chế chải răng ...",https://salt.tikicdn.com/cache/280x280/ts/product/1c/d4/59/8425a21a951e4a789fae491fcec60764.png,852000,,1276370,,424370,33,933,,available,,1000,1000,,21271,P/S
11254933,3706560356492,Sữa dưỡng sáng da ban ngày Shiseido White Lucent Day Emulsion 50ml,"Kem dưỡng trắng da ban ngày Shiseido White Lucent Brightening Day Emulsion với kết cấu dạng sữa lỏng sẽ nhẹ nhàng tạo lớp màng mỏng bao bọc toàn bộ da mặt, giúp mang lại cảm giác tươi mát, cho da luô...",https://salt.tikicdn.com/cache/280x280/ts/product/88/91/b1/19217ea8214b830a9ed51f985c547251.png,1699000,,1700000,,1000,0,112,,available,,1000,1000,,153733,Shiseido
24250831,8775089862116,Kem dưỡng ẩm dành cho da lão hóa Dermaceutic Pháp - Regen Ceutic,"Regen Ceutic là sản phẩm mới nhất trong dòng sản phẩm phục hồi da của Dermaceutic. Regen Ceutic chứa Peptides Comples được biết đến với tên thương mại Matrixyl 3000, được chứng minh cực kỳ hiệu quả tr...",https://salt.tikicdn.com/cache/280x280/ts/product/82/79/31/a93fb289de2bb1beaf47a7f23bf53fca.jpg,1690000,,1690000,,0,0,2,,available,,1000,1000,,466817,Dermaceutic
273879908,6815969204357,"Viên uống Cân Bằng Nội Tiết Tố Nữ CER - NHẬP KHẨU MỸ - CẢI THIỆN DA KHÔ NHĂN, RỤNG TÓC, KHÔ HẠN (Chai 30v)","Viên uống Cân Bằng Nội Tiết Tố Nữ CER - NHẬP KHẨU MỸ - CẢI THIỆN DA KHÔ NHĂN, RỤNG TÓC, KHÔ HẠN (Chai 30v)ƯU ĐIỂM SẢN PHẨM:Viên uống Cân bằng Nội tiết tố nữ CER nhập khẩu từ Mỹ, kết hợp 24 thành phầ...",https://salt.tikicdn.com/cache/280x280/ts/product/34/a3/37/0c91cb6f26b9a893646550cb49755635.jpg,398000,,398000,,0,0,2,,available,,1000,1000,,8224505,Healthy USA
274152730,7467302805931,"Viên uống Canxi Sinh Hoc CAX - Nhập Khẩu Mỹ - BỔ SUNG CANXI GIÚP XƯƠNG CHẮC KHỎE, Chai 30 viên",  Viên uống Canxi Sinh Học CAX - Nhập Khẩu Mỹ - BỔ SUNG CANXI GIÚP XƯƠNG CHẮC KHỎE - Chai 30 viênƯU ĐIỂM VIÊN UỐNG CANXI SINH HỌC CAX - HEALTHY BONE SUPPORT:- Nhập khẩu từ Mỹ- Bổ sung Canxi sinh họ...,https://salt.tikicdn.com/cache/280x280/ts/product/83/9c/f5/bb090c030dea48682c65f254a98c67b0.jpg,298000,,298000,,0,0,0,,available,,1000,1000,,8224505,Healthy USA
632680,3469267168798,"Dầu gội Selsun chống gàu, sạch gàu & hết ngứa da đầu Selsun Anti-Dandruff Shampoo 100ml",Dầu gội chống gàu Selsun 100mlDầu gội thông thường sẽ không giúp bạn giải quyết được nguyên nhân gây gàu - vi nấm Malassezia một cách hiệu quả. Thứ bạn cần là sản phẩm có thành phần chuyên biệt như S...,https://salt.tikicdn.com/cache/280x280/ts/product/7c/9c/a5/4bd1312c3bcdbe0475df20cffee3c5a6.jpg,84000,,99000,,15000,15,1560,,available,,1000,1000,,112885,Selsun
1634981,3595469546314,"Giấy thấm dầu kiểm soát nhờn, ngừa mụn Acnes Oil Remover Paper 100 tờ","Giấy thấm dầu Acnes Oil Remover Paper (100 tờ)Giấy thấm dầu kiểm soát nhờn, ngừa mụn Acnes Oil Remover Paper 100 tờ được nghiên cứu và phát triển giúp thấm hút chất nhờn dư hiệu quả, phù hợp cho mọi ...",https://salt.tikicdn.com/cache/280x280/ts/product/2b/08/75/e663d2ff01ea5b6b73ba7e0329088349.jpg,29000,,33000,,4000,12,254,,available,,1000,1000,,112887,Acnes
5902685,4767008638425,"Sữa rửa mặt vitamin làm sáng da, mờ sẹo thâm dạng kem Acnes Vitamin Cleanser 100g","Kem rửa mặt vitamin Acnes Cleanser 100gSữa rửa mặt vitamin làm sáng da, mờ sẹo thâm dạng kem Acnes Vitamin Cleanser 100g là sản phẩm giúp hỗ trợ phục hồi làn da sau mụn đến từ thương hiệu Acnes. Khôn...",https://salt.tikicdn.com/cache/280x280/ts/product/f3/35/da/2bbfad7de87e9cc1524ac7ef402d9ab1.jpg,56000,,70000,,14000,20,288,,available,,1000,1000,,112887,Acnes
273598230,6358535348509,Máy Tăm Nước Không Dây LocknLock Cordless Oral Irrigator ,Đặc điểm nổi bậtMáy Tăm Nước Không Dây LocknLock Cordless Oral Irrigator  gồm 4 chế độ hoạt động: Đáp ứng các nhu cầu chăm sóc răng miệng khác nhau.Đầu tăm xoay 360 °: Làm sạch răng miệng theo nhiề...,https://salt.tikicdn.com/cache/280x280/ts/product/14/30/51/1ea1a670dd4e1c98eab2bdf28d4f869e.jpg,696000,,1263000,,567000,45,1830,,available,,1000,1000,,48077,LocknLock
6874429,4184432856513,Miếng dán mụn giúp giảm mụn sưng viêm Acnes Clear Patch (24 Miếng),"Miếng dán mụn giúp Giảm Mụn Sưng Viêm Acnes Clear Patch mang lại 3 tác động nổi bật: GIẢM MỤN – BẢO VỆ – CHE PHỦ.Với độ dày chỉ 0,2 mm, miếng dán mụn giúp che phủ tự nhiên, đặc biệt là khi trang điểm ...",https://salt.tikicdn.com/cache/280x280/ts/product/89/6a/9d/ae887ac4dcafbb6013fc74b6ff80d0a9.jpg,50000,,60000,,10000,17,306,,available,,1000,1000,,112887,Acnes
