id,sku,name,short_description,image,price,product_link,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
104050175,5889904895790,"Quần Lengging Lửng Nữ Chất Thun Co Dãn 4 Chiều , Quần Ngố Chất Đẹp Dễ Phối Đồ Màu Đen Cá Tính Phong Cách","Shopkhanhlinh: Quần Lengging Lửng- Cam Kết: Hàng Đẹp Loại 1, Chất Thun- Sản Phẩm Được Đóng Gói Cẩn ThậnĐẶC ĐIỂM CỦA SẢN PHẨM:Shopkhamhlinh chuyên cung cấp những mẫu áo phông, quần lengging thời trang ...",https://salt.tikicdn.com/cache/280x280/ts/product/07/9c/06/aef562f7af1990de63da7ffbf5c491af.jpg,43000,,43000,,0,0,1,,available,,1000,1000,,111461,OEM
273357490,1111343923638,Set Váy Ngủ Cosplay Bikini Sexy Gợi Cảm Độc Lạ Freebra Freesize (40~60kg) ,"Set Váy Ngủ Dây Nơ V1 Cosplay Bikini Sexy Gợi Cảm Độc Lạ Freebra Freesize (40~60kg)Điểm nhấn: miếng dán V1 quyến rũĐồ ngủ không chỉ giúp cho bạn thấy thoải mái, dễ chịu hơn khi nghỉ ngơi mà nó còn giú...",https://salt.tikicdn.com/cache/280x280/ts/product/28/24/81/c5a0c2b4efdca6e974569cf0425dd73c.jpg,219000,,438000,,219000,50,1,,available,,1000,1000,,219625,AN BÌNH
119285172,4617443785704,Combo 3 áo lót học sinh ngắn không mút iBasic VA111,"Combo 3 áo lót nữ ngắn iBasic VA111 Thiết kế dành riêng cho tuổi teen không gọng, không mút giúp vòng ngực phát triển tốt.- Áo cotton vô cùng mềm mại, thấm hút mồ hôi tốt.- Dây áo ôm nhẹ bờ vai có ...",https://salt.tikicdn.com/cache/280x280/ts/product/3a/c4/88/921fbd96865894876e4914859b18eae7.jpg,180000,,207000,,27000,13,9,,available,,1000,1000,,52304,iBasic
176021609,4476843878784,Áo bralette không gọng satin iBasic BRAY044,"Áo bralette không gọng satin iBasic BRAY044 - Áo bralette cài trước phối ren - Áo ngực cài trước, không gọng, mút mỏng mang lại cảm giác thoải mái suốt cả ngày - Chất liệu satin bóng mịn với hoa văn l...",https://salt.tikicdn.com/cache/280x280/ts/product/f7/eb/87/9bf282405008008212403e901ce079a8.jpg,99000,,299000,,200000,67,4,,available,,1000,1000,,52304,iBasic
176021614,7389250334619,Áo ngực bralette ren mỏng dây chéo ngực iBasic BRAY045,"Áo ngực bralette ren mỏng dây chéo ngực iBasic BRAY045 - Không gọng, không mút tạo cảm giác thoải mái cho người mặc. - Thiết kế dây đan chéo tạo điểm nhấn và thêm phần quyến rũ. - Dây vai tăng giảm th...",https://salt.tikicdn.com/cache/280x280/ts/product/89/bb/42/11f3c4febbc09df298d741221832e8e2.jpg,106000,,399000,,293000,73,9,,available,,1000,1000,,52304,iBasic
183058686,7610258725744,"Miếng Dán Ngực Silicon siêu chắc chắn ,tiện lợi cho phái đẹp - giao màu ngẫu nhiên - Hàng chính hãng","Miếng Dán Ngực Silicon siêu chắc chắn ,tiện lợi cho phái đẹp - giao màu ngẫu nhiên - Hàng chính hãngTHÔNG TIN SẢN PHẨM Miếng Silicone SIÊU MỎNG- SIÊU NHẸ -SIÊU PHẨM- Dán lên ôm trọn ngực ko bị phồn...",https://salt.tikicdn.com/cache/280x280/ts/product/ab/2d/b0/a251857707cf150a97620db6265cf315.jpg,12000,,16000,,4000,25,66,,available,,1000,1000,,5677653,Vilady
82700777,9744058230229,"Bộ 5 Quần lót nữ O2 Cotton Ép Không Đường May, chất liệu thoáng mát thương hiệu BAW QLN14","CHE TÊN SẢN PHẨM KHI GIAO HÀNGBộ 5 Quần lót nữ O2 Cotton Ép Không Đường May, chất liệu thoáng mát thương hiệu BAW QLN14(Được kiểm tra hàng trước khi thanh toán)Chất liệu: CottonHọa tiết mẫu: Thê...",https://salt.tikicdn.com/cache/280x280/ts/product/17/96/bb/bc10700362d9a4fbb0d7f6179167926a.jpg,144000,,199000,,55000,28,330,,available,,1000,1000,,4581269,Baw
82700818,9621157213791,BỘ 5 QUẦN LÓT LỤA LẠNH FABIC CẠP CAO KHÁNG KHUẨN KHÔNG LỘ VIỀN CAO CẤP thương hiệu BAW QLN16,CHE TÊN SẢN PHẨM KHI GIAO HÀNGBỘ 5 QUẦN LÓT LỤA LẠNH FABIC CẠP CAO KHÁNG KHUẨN KHÔNG LỘ VIỀN CAO CẤP thương hiệu BAW QLN16(Được kiểm tra hàng trước khi thanh toán)Chất liệu: CottonHọa tiết mẫu: ...,https://salt.tikicdn.com/cache/280x280/ts/product/11/7a/67/292645f3fe704489626799e7b9851299.jpg,182000,,199000,,17000,9,374,,available,,1000,1000,,4581269,Baw
186677676,4708512096213,"Quần Lót Nữ, quần lót Ren nữ Cao Cấp Mềm Mịn, Quần Lót Nữ Co Dãn Tốt Thoáng Mát VILADY 2026","Quần Lót Nữ, quần lót Ren nữ Cao Cấp Mềm Mịn, Quần Lót Nữ Co Dãn Tốt Thoáng Mát VILADY 2026THÔNG TIN SẢN PHẨM* Quần lót ren gợi cảm Vilady - 2026, chất liệu ren mềm mịn, siêu nhẹ, siêu thoáng mát. T...",https://salt.tikicdn.com/cache/280x280/ts/product/6d/4c/37/e40c1fcc2722eeadf051969a752e9b0f.jpg,24000,,45000,,21000,47,11,,available,,1000,1000,,5677653,Vilady
95312684,2134654716990,Combo 2 bộ (4 dây) dây áo ngực bản dẹt có thể điều chỉnh tiện lợi LYPK02,"Chi tiết sản phẩm: -Chất liệu: Nhựa dẻo, móc kim loại.-Hình dáng: sợi thường-Màu sắc: Trong suốt, Mờ đục.-Kích thước:                  +Chiều rộng:1.0/1.2/1.5.1.8cm.                  + chiều dài: 3...",https://salt.tikicdn.com/cache/280x280/ts/product/e1/80/e1/88dd90d8da45ca9618eab24c22528557.PNG,12000,,18000,,6000,33,28,,available,,1000,1000,,111461,OEM
